transaction_id,sender_account_id,receiver_account_id,amount,transaction_timestamp,transfer_method,is_mule_tx,sender_balance_before_tx,receiver_balance_before_tx,time_since_last_tx_seconds,dwell_time_minutes,is_first_time_payee,in_out_ratio_7d,daily_tx_count_sender,amount_z_score
TXN_004398,ACC_0070,ACC_0143,1029.06,1970-01-01 07:00:45.918,Mobile App,False,1961.21,1048.06,-1,-1.0,True,0.0,1,0.0
TXN_006418,ACC_0625,ACC_0596,429.26,1970-01-01 07:00:45.918,Mobile App,False,3725.53,384.14,-1,-1.0,True,0.0,1,0.0
TXN_013459,ACC_0947,ACC_0336,1367.84,1970-01-01 07:00:45.918,Mobile App,False,637.37,1962.98,-1,-1.0,True,0.0,1,0.0
TXN_017300,ACC_0147,ACC_0932,707.38,1970-01-01 07:00:45.918,Mobile App,False,1183.68,3677.65,-1,-1.0,True,0.0,1,0.0
TXN_006405,ACC_0415,ACC_0173,369.15,1970-01-01 07:00:45.918,Mobile App,False,4475.25,184.13,-1,-1.0,True,0.0,1,0.0
TXN_000433,ACC_0398,ACC_0016,1463.1,1970-01-01 07:00:45.918,Mobile App,False,3667.56,1589.36,-1,-1.0,True,0.0,1,0.0
TXN_014753,ACC_0768,ACC_0583,28.89,1970-01-01 07:00:45.918,Mobile App,False,2759.98,857.02,-1,-1.0,True,0.0,1,0.0
TXN_016787,ACC_0276,ACC_0833,1481.28,1970-01-01 07:00:45.918,Mobile App,False,3541.66,3844.31,-1,-1.0,True,0.0,1,0.0
TXN_010375,ACC_0768,ACC_0723,1190.96,1970-01-01 07:00:45.918,API,False,2731.09,4615.72,351,-1.0,True,0.0,2,0.71
TXN_010591,ACC_0659,ACC_0634,126.76,1970-01-01 07:00:45.918,Web,False,2811.74,2620.16,-1,-1.0,True,0.0,1,0.0
TXN_007655,ACC_0065,ACC_0321,1213.11,1970-01-01 07:00:45.918,Mobile App,False,2393.69,3699.04,-1,-1.0,True,0.0,1,0.0
TXN_007201,ACC_0096,ACC_0870,1307.78,1970-01-01 07:00:45.918,Mobile App,False,981.2,4840.62,-1,-1.0,True,0.0,1,0.0
TXN_018821,ACC_0428,ACC_0709,100.78,1970-01-01 07:00:45.918,ATM,False,3232.27,2479.29,-1,-1.0,True,0.0,1,0.0
TXN_006936,ACC_0002,ACC_0020,514.41,1970-01-01 07:00:45.918,Web,False,1101.08,3492.8,-1,-1.0,True,0.0,1,0.0
TXN_009968,ACC_0261,ACC_0341,1311.21,1970-01-01 07:00:45.918,API,False,3734.18,2053.75,-1,-1.0,True,0.0,1,0.0
TXN_011105,ACC_0894,ACC_0861,1169.72,1970-01-01 07:00:45.918,Mobile App,False,2614.48,4281.29,-1,-1.0,True,0.0,1,0.0
TXN_014818,ACC_0821,ACC_0498,12.03,1970-01-01 07:00:45.918,Mobile App,False,4978.07,3182.89,-1,-1.0,True,0.0,1,0.0
TXN_014652,ACC_0493,ACC_0316,29.42,1970-01-01 07:00:45.918,Web,False,1593.9,992.11,-1,-1.0,True,0.0,1,0.0
TXN_015856,ACC_0034,ACC_0975,991.64,1970-01-01 07:00:45.918,Mobile App,False,3243.61,3721.06,-1,-1.0,True,0.0,1,0.0
TXN_017642,ACC_0930,ACC_0696,719.57,1970-01-01 07:00:45.918,Mobile App,False,1757.83,1092.01,-1,-1.0,True,0.0,1,0.0
TXN_016489,ACC_0841,ACC_0020,1066.25,1970-01-01 07:00:45.918,Web,False,2929.6,4007.21,-1,-1.0,True,0.0,1,0.0
TXN_007045,ACC_0236,ACC_0657,819.73,1970-01-01 07:00:45.918,Mobile App,False,276.42,3578.25,-1,-1.0,True,0.0,1,0.0
TXN_016208,ACC_0660,ACC_0032,131.4,1970-01-01 07:00:45.918,Mobile App,False,4794.56,496.93,-1,-1.0,True,0.0,1,0.0
TXN_001178,ACC_0209,ACC_0233,922.44,1970-01-01 07:00:45.918,Mobile App,False,1394.85,2189.59,-1,-1.0,True,0.0,1,0.0
TXN_003838,ACC_0072,ACC_0327,673.12,1970-01-01 07:00:45.918,Mobile App,False,402.38,2530.71,-1,-1.0,True,0.0,1,0.0
TXN_004926,ACC_0610,ACC_0597,816.92,1970-01-01 07:00:45.918,Mobile App,False,3206.56,4895.84,-1,-1.0,True,0.0,1,0.0
TXN_018715,ACC_0904,ACC_0527,204.21,1970-01-01 07:00:45.918,API,False,3644.25,2097.53,-1,-1.0,True,0.0,1,0.0
TXN_006643,ACC_0803,ACC_0100,1206.33,1970-01-01 07:00:45.919,Mobile App,False,4718.16,2780.36,-1,-1.0,True,0.0,1,0.0
TXN_015863,ACC_0510,ACC_0447,1159.02,1970-01-01 07:00:45.919,Mobile App,False,3622.52,2064.51,-1,-1.0,True,0.0,1,0.0
TXN_019330,ACC_0909,ACC_0523,1296.04,1970-01-01 07:00:45.919,Mobile App,False,4053.69,227.9,-1,-1.0,True,0.0,1,0.0
